Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090434,-,-,-,43.93,-78.9,0,157,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,0,30,-7.2,0,0,0,4,-7.6000000000000005,0,0,0,0,97.24000000000001,118.28,0.8,988,1,62,4.2,0.0000,0.0000
2006,1,1,1,30,-7.9,0,0,0,4,-8.200000000000001,0,0,0,0,97.47,129.06,0.8,988,1,61,3.8000000000000003,0.0000,0.0000
2006,1,1,2,30,-8.4,0,0,0,4,-8.8,0,0,0,0,96.76,139.65,0.8,989,1,60,3.2,0.0000,0.0000
2006,1,1,3,30,-8.9,0,0,0,4,-9.4,0,0,0,0,95.96000000000001,149.39000000000001,0.8,989,1,58,2.6,0.0000,0.0000
2006,1,1,4,30,-9.4,0,0,0,4,-10,0,0,0,0,95.26,156.79,0.8,990,0.9,56,2.1,0.0000,0.0000
2006,1,1,5,30,-9.8,0,0,0,4,-10.5,0,0,0,0,94.29,158.96,0.8,990,0.9,57,1.9000000000000001,0.0000,0.0000
2006,1,1,6,30,-10.100000000000001,0,0,0,4,-10.9,0,0,0,0,93.64,154.5,0.8,991,0.9,58,1.8,0.0000,0.0000
2006,1,1,7,30,-10.200000000000001,0,0,0,4,-11.200000000000001,0,0,0,0,92.39,145.98,0.8,991,0.9,59,1.8,0.0000,0.0000
2006,1,1,8,30,-10.3,0,0,0,4,-11.4,0,0,0,0,91.9,135.81,0.8,992,0.9,58,1.8,0.0000,0.0000
2006,1,1,9,30,-9.8,0,0,0,4,-11.4,0,0,0,0,87.96000000000001,125.09,0.8,993,0.9,57,1.5,0.0000,0.0000
2006,1,1,10,30,-9.3,0,0,0,4,-11.200000000000001,0,0,0,0,86.03,114.34,0.8,993,0.9,51,1.3,0.0000,0.0000
2006,1,1,11,30,-8.8,0,0,0,4,-11,0,0,0,0,83.96000000000001,103.87,0.8,994,0.9,41,1.1,0.0000,0.0000
2006,1,1,12,30,-8.200000000000001,0,0,0,4,-10.8,0,0,0,0,81.54,93.98,0.8,994,0.9,31,0.9,0.0000,0.0000
2006,1,1,13,30,-7.4,39,232,60,1,-10.5,39,232,0,60,78.41,84.83,0.8,995,1,193,0.7000000000000001,0.0000,0.0000
2006,1,1,14,30,-6.300000000000001,81,492,190,4,-9.5,83,39,7,92,77.8,77.25,0.8,996,1,341,0.6000000000000001,4.4213,3.3837
2006,1,1,15,30,-5.2,108,608,302,4,-8.200000000000001,71,0,0,71,79.29,71.39,0.8,996,1,312,0.7000000000000001,3.5890,2.7742
2006,1,1,16,30,-4.2,124,658,373,4,-7,29,0,7,29,80.93,67.81,0.8,996,1,292,0.7000000000000001,1.5130,1.1746
2006,1,1,17,30,-3,126,674,391,4,-5.800000000000001,29,0,7,29,81.17,66.91,0.8,996,1,279,0.9,1.5242,1.1844
2006,1,1,18,30,-2,117,657,355,4,-4.6000000000000005,88,0,0,88,82.29,68.79,0.8,996,1,271,1.2000000000000002,4.5532,3.5311
